pair_id,url_path,search_intent_unchanged,h1_component,h1_new,decision_table,table_page_specific,official_links_count,official_links_verified,legal_numbers_verified,factual_correction_applied,meta_title_unchanged,url_canonical_unchanged,cta_unchanged,contextual_inbound_links_added,donor_pages,control_edited,naver_recovery_contamination,treatment_not_delivered,notes
P11,/guide/retirement/retirement-small-business-5,yes,delivered,5인 미만 사업장도 퇴직금을 줘야 하나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"retirement-small-company-no-fund-claim; retirement-under-five-9years-claim; retirement-maternity-leave-included",no,no,0,"조건별 지급 의무 판단표. 근로자퇴직급여 보장법 링크"
P12,/guide/retirement/retirement-night-overtime-included-calculation,yes,delivered,야간·연장수당도 퇴직금에 포함되나요?,yes,yes,2,yes,n/a,no,yes,yes,yes,3,"retirement-performance-bonus-business-profit; retirement-bonus-performance-included; wage-night-sleeping-hours-working-time",no,no,0,"수당 유형별 포함 여부 표"
P13,/guide/dismissal/dismissal-tardiness-repeated-discipline,yes,delivered,지각·결근이 반복됐다고 해고됐는데 다툴 수 있나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"dismissal-tardiness-absence-accumulation-track; dismissal-repeated-tardiness-absence-ordinary-termination-track; dismissal-tardiness-attendance-accumulation-disciplinary-track",no,no,0,"요건별 유불리 자가 점검표. 노동위원회 링크"
P14,/guide/traffic-accident/traffic-accident-parking-lot-door-ding,yes,delivered,주차장에서 문콕 났는데 보험처리해야 하나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"traffic-accident-where-to-start; traffic-accident-diminished-value-claim-procedure; traffic-accident-uninsured-self-injury-coverage-government-fund-limit",no,no,0,"기존 본문의 수리비·할증 '시세' 금액은 출처 확인이 어려워 수정하지 않음. 판단표는 금액 단정 없이 비교 기준만 제시"
P15,/guide/neighbor-dispute/boundary-wall-dispute,yes,delivered,옆집과 경계·담장 분쟁이 생겼는데 어떻게 해결하나요?,yes,yes,3,yes,no,no,yes,yes,yes,3,"illegal-parking-dispute-response; neighbor-dispute-smell-pet-parking; floor-noise-decibel-standard",no,no,0,"본문 중 '20년(등기부 취득시효)/10년(등기 취득시효)' 표기가 민법 제245조 구조와 어긋나 보이나, 조문 원문을 권위 출처로 확인하지 못해 수정하지 않고 보고만 함"
P16,/guide/unemployment/unemployment-sexual-harassment-quit-benefit,yes,delivered,직장 내 성희롱으로 퇴사했는데 실업급여를 받을 수 있나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"voluntary-resignation-benefit-eligible-cases; voluntary-quit-unemployment-eligibility; unemployment-night-shift-change-quit",no,no,0,"증거 상태별 판단표. 고용보험법·남녀고용평등법 링크"
P17,/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,yes,delivered,버스 급정거로 다쳤는데 어디에 보상을 청구하나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"traffic-accident-taxi-passenger-claim; traffic-accident-injury-compensation; traffic-accident-taxi-rideshare-passenger-injury",no,no,0,"청구 상대별 판단표. 자동차손해배상 보장법·금감원 링크"
P18,/guide/unemployment/unemployment-waiting-7days,yes,delivered,실업급여 대기기간 7일엔 무엇을 해야 하나요?,yes,yes,2,yes,no,no,yes,yes,yes,3,"waiting-period-7day-rules; pre-resignation-benefit-prep; unemployment-business-transfer-quit",no,no,0,"기존 본문의 '모든 수급자에게 동일 적용' 서술은 고용보험법 제49조 원문(건설일용근로자 단서 유무)을 확인하지 못해 수정하지 않음. 판단표는 행동별 영향만 다룸"
P19,/guide/bankruptcy/bankruptcy-credit-recovery-timeline,yes,delivered,파산 면책을 받으면 신용은 언제 회복되나요?,yes,yes,3,yes,no,no,yes,yes,yes,3,"bankruptcy-post-discharge-credit-rebuild-5steps; non-dischargeable-debts-after-bankruptcy; bankruptcy-omitted-creditor-discharged",no,no,0,"기존 본문의 '5년 등록·점수대별 회복 기간' 수치는 출처 확인이 어려워 유지. 판단표는 기간을 단정하지 않고 '직접 확인' 으로 표기"
P20,/guide/dismissal/dismissal-during-sick-leave,yes,delivered,병가·질병휴직 중에 해고당했는데 괜찮은가요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"dismissal-sick-leave-return-fired; dismissal-parental-leave-fired; probation-dismissal-legality",no,no,0,"재해 성격별 판단표. 근로기준법·근로복지공단·노동위원회 링크"
