pair_id,url_path,domain,assignment,current_naver_sessions,previous_naver_sessions,pretrend_log_ratio,publication_date_source,publication_date,eligibility_notes,random_seed,contamination_flag,donor_pages,treatment_not_delivered,keyword,title
P06,/guide/unemployment/unemployment-weekly-52-hour-violation-quit,unemployment,TREATMENT,71,44,0.4700,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-20,match_cost=0.359; body_chars=1400; editorial_inbound=1; type=상황형,LG_GROWTH_3B_20260916,0,,,주52시간 위반 퇴사 실업급여,주52시간 위반 퇴사 실업급여 인정 기준 4가지 | 로앤가이드
P06,/guide/unemployment/unemployment-disciplinary-fired-benefit,unemployment,CONTROL,72,55,0.2651,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-14,match_cost=0.359; body_chars=1750; editorial_inbound=0; type=비교형,LG_GROWTH_3B_20260916,0,,,징계해고 실업급여 수급,징계해고 실업급여 수급 가능 여부 판단 기준 | 로앤가이드
P07,/guide/unemployment/unemployment-disability-worker-special-eligibility,unemployment,TREATMENT,65,83,-0.2412,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-16,match_cost=0.297; body_chars=2487; editorial_inbound=1; type=특례형,LG_GROWTH_3B_20260916,0,,,장애인 근로자 실업급여 특례 요건 수급 절차,장애인 근로자 실업급여 특례 3가지 | 로앤가이드
P07,/guide/unemployment/unemployment-family-care-quit,unemployment,CONTROL,75,86,-0.1352,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-12,match_cost=0.297; body_chars=1327; editorial_inbound=1; type=자격확인형,LG_GROWTH_3B_20260916,0,,,가족돌봄 간병 퇴사 실업급여,가족 간병·돌봄 퇴사 실업급여 인정 조건 정리 | 로앤가이드
P08,/guide/unemployment/unemployment-180days-insurance-period-calc,unemployment,TREATMENT,51,74,-0.3662,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-18,match_cost=0.903; body_chars=2357; editorial_inbound=17; type=수치기한형,LG_GROWTH_3B_20260916,0,,,실업급여 180일 피보험단위기간 계산,실업급여 180일 피보험단위기간 정확히 계산하는 법 | 로앤가이드
P08,/guide/traffic-accident/traffic-accident-door-opening-fault,traffic-accident,CONTROL,69,87,-0.2288,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-21,match_cost=0.903; body_chars=1544; editorial_inbound=2; type=판단형,LG_GROWTH_3B_20260916,0,,,개문사고 과실비율,개문사고 과실비율 — 차문 사고 4가지 기준 | 로앤가이드
P09,/guide/unemployment/unemployment-probation-fired,unemployment,TREATMENT,59,49,0.1823,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-12,match_cost=0.227; body_chars=1445; editorial_inbound=1; type=자격확인형,LG_GROWTH_3B_20260916,0,,,수습기간 해고 실업급여,수습기간 해고 실업급여 받는 조건 3가지 | 로앤가이드
P09,/guide/unemployment/unemployment-spouse-relocation-just-cause,unemployment,CONTROL,53,46,0.1388,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-27,match_cost=0.227; body_chars=2027; editorial_inbound=6; type=절차형,LG_GROWTH_3B_20260916,0,,,배우자 발령 거주이전 자진퇴사 실업급여,배우자 발령 거주이전 자진퇴사 실업급여 인정 요건 | 로앤가이드
P10,/guide/wage/wage-freelancer-worker-status-claim,wage,TREATMENT,48,37,0.2542,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-09,match_cost=0.890; body_chars=1954; editorial_inbound=8; type=쟁점형,LG_GROWTH_3B_20260916,0,,,프리랜서 임금체불 근로자성 인정,프리랜서 임금체불 근로자성 인정 기준 4가지 | 로앤가이드
P10,/guide/traffic-accident/traffic-accident-passenger-injury-claim,traffic-accident,CONTROL,58,33,0.5512,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-10,match_cost=0.890; body_chars=965; editorial_inbound=15; type=절차형,LG_GROWTH_3B_20260916,0,,,교통사고 동승자 탑승자 보상 청구,교통사고 동승자(탑승자) 보상 청구 방법 3가지 | 로앤가이드
P11,/guide/retirement/retirement-small-business-5,retirement,TREATMENT,49,46,0.0619,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-11,match_cost=0.282; body_chars=1519; editorial_inbound=1; type=자격확인형,LG_GROWTH_3B_20260916,0,,,5인 미만 사업장 퇴직금 의무,5인 미만 사업장 퇴직금 의무 여부 핵심 3가지 | 로앤가이드
P11,/guide/retirement/retirement-rehire-continuous-service-calculation,retirement,CONTROL,56,47,0.1719,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-17,match_cost=0.282; body_chars=2107; editorial_inbound=7; type=상황형,LG_GROWTH_3B_20260916,0,,,퇴사 재입사 퇴직금 근속기간 합산 여부,퇴사 후 재입사 퇴직금 근속기간 합산 판단 기준 | 로앤가이드
P12,/guide/retirement/retirement-night-overtime-included-calculation,retirement,TREATMENT,54,70,-0.2553,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-16,match_cost=0.288; body_chars=2544; editorial_inbound=2; type=비교형,LG_GROWTH_3B_20260916,0,,,야간 연장근로수당 퇴직금 포함 계산 기준,야간·연장수당 퇴직금 포함 기준 5가지 | 로앤가이드
P12,/guide/retirement/retirement-incentive-bonus-average-wage-inclusion,retirement,CONTROL,45,59,-0.2657,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-17,match_cost=0.288; body_chars=2281; editorial_inbound=6; type=비교형,LG_GROWTH_3B_20260916,0,,,인센티브 성과급 퇴직금 포함 여부 평균임금,인센티브·성과급 퇴직금 포함 기준 대법원 판례 | 로앤가이드
P13,/guide/dismissal/dismissal-tardiness-repeated-discipline,dismissal,TREATMENT,46,39,0.1613,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-18,match_cost=0.481; body_chars=1989; editorial_inbound=4; type=비교형,LG_GROWTH_3B_20260916,0,,,지각 결근 반복 해고 정당성,지각 자주 했다고 해고됐어요. 다툴 수 있나요? | 로앤가이드
P13,/guide/assault/assault-first-offense-penalty,assault,CONTROL,44,37,0.1691,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-03-13,match_cost=0.481; body_chars=1816; editorial_inbound=9; type=Q&A형,LG_GROWTH_3B_20260916,0,,,폭행 초범 처벌,폭행 초범 처벌 수위 — 벌금형·기소유예 가능성 총정리 | 로앤가이드
P14,/guide/traffic-accident/traffic-accident-parking-lot-door-ding,traffic-accident,TREATMENT,43,36,0.1733,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-23,match_cost=0.090; body_chars=1429; editorial_inbound=1; type=절차형,LG_GROWTH_3B_20260916,0,,,주차장 문콕 보험처리,주차장 문콕 보험처리 합의 4단계 | 로앤가이드
P14,/guide/traffic-accident/traffic-accident-rear-end-fault-ratio,traffic-accident,CONTROL,44,36,0.1957,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-12,match_cost=0.090; body_chars=1261; editorial_inbound=19; type=비교분석형,LG_GROWTH_3B_20260916,0,,,추돌사고 과실비율,추돌사고 과실비율 — 100:0이 아닌 경우 5가지 | 로앤가이드
P15,/guide/neighbor-dispute/boundary-wall-dispute,neighbor-dispute,TREATMENT,43,52,-0.1861,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-08,match_cost=0.558; body_chars=2289; editorial_inbound=0; type=상황형,LG_GROWTH_3B_20260916,0,,,경계 분쟁 담장 설치 법적 기준,경계 분쟁·담장 설치 법적 기준 4가지 | 로앤가이드
P15,/guide/retirement/retirement-less-than-1year-eligibility,retirement,CONTROL,39,47,-0.1823,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-12,match_cost=0.558; body_chars=1287; editorial_inbound=7; type=자격확인형,LG_GROWTH_3B_20260916,0,,,1년 미만 근무 퇴직금,1년 미만 근무 퇴직금 — 받을 수 있는 경우 3가지 | 로앤가이드
P16,/guide/unemployment/unemployment-sexual-harassment-quit-benefit,unemployment,TREATMENT,39,46,-0.1613,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-13,match_cost=0.125; body_chars=1911; editorial_inbound=0; type=자격확인형,LG_GROWTH_3B_20260916,0,,,직장 성희롱 퇴사 실업급여,직장 성희롱 퇴사 실업급여 받는 4가지 조건 | 로앤가이드
P16,/guide/unemployment/investment-income-benefit-impact,unemployment,CONTROL,40,45,-0.1151,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-17,match_cost=0.125; body_chars=2156; editorial_inbound=0; type=수치기한형,LG_GROWTH_3B_20260916,0,,,실업급여 수급 중 투자 소득 신고 의무 수급 영향,실업급여 수급 중 투자 소득 신고 의무 3가지 | 로앤가이드
P17,/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,TREATMENT,40,39,0.0247,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-16,match_cost=0.546; body_chars=1724; editorial_inbound=5; type=절차형,LG_GROWTH_3B_20260916,0,,,버스 택시 급정거 승객 부상 손해배상 청구,"버스 급정거로 다쳤어요, 보상 어떻게 받나요? | 로앤가이드"
P17,/guide/wage/wage-business-trip-travel-time,wage,CONTROL,39,42,-0.0723,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-18,match_cost=0.546; body_chars=2032; editorial_inbound=1; type=비교형,LG_GROWTH_3B_20260916,0,,,출장 이동시간 근로시간 임금,출장 이동시간 근로시간 인정 기준 총정리 | 로앤가이드
P18,/guide/unemployment/unemployment-waiting-7days,unemployment,TREATMENT,42,33,0.2348,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-12,match_cost=0.361; body_chars=1311; editorial_inbound=0; type=절차타임라인형,LG_GROWTH_3B_20260916,0,,,실업급여 대기기간 7일,"실업급여 대기기간 7일, 이 기간엔 뭘 해야 하나요? | 로앤가이드"
P18,/guide/unemployment/unemployment-pregnancy-resignation-eligibility,unemployment,CONTROL,36,34,0.0556,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-28,match_cost=0.361; body_chars=2292; editorial_inbound=3; type=Q&A형,LG_GROWTH_3B_20260916,0,,,임신 중 권고사직 실업급여,임신 중 권고사직 실업급여 인정 5가지 쟁점 | 로앤가이드
P19,/guide/bankruptcy/bankruptcy-credit-recovery-timeline,bankruptcy,TREATMENT,38,29,0.2624,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-01,match_cost=0.593; body_chars=1568; editorial_inbound=13; type=수치기한형,LG_GROWTH_3B_20260916,0,,,파산 면책 후 신용회복 절차와 기간,파산 면책 후 신용회복 3단계 — 기간·점수 기준 정리 | 로앤가이드
P19,/guide/retirement/retirement-partial-payment-agreement-void-5reasons,retirement,CONTROL,39,26,0.3930,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-22,match_cost=0.593; body_chars=1461; editorial_inbound=3; type=체크리스트형,LG_GROWTH_3B_20260916,0,,,퇴직금 분할 지급 합의 무효,퇴직금 분할 지급 합의 무효 사유 5가지 | 로앤가이드
P20,/guide/dismissal/dismissal-during-sick-leave,dismissal,TREATMENT,35,33,0.0572,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-20,match_cost=0.650; body_chars=1292; editorial_inbound=6; type=상황형,LG_GROWTH_3B_20260916,0,,,병가 질병휴직 중 해고,병가·질병휴직 중 해고 가능한가 3가지 판단 기준 | 로앤가이드
P20,/guide/dismissal/dismissal-small-business-under5-options,dismissal,CONTROL,36,51,-0.3403,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-15,match_cost=0.650; body_chars=1821; editorial_inbound=3; type=체크리스트형,LG_GROWTH_3B_20260916,0,,,5인 미만 사업장 해고 구제 방법,5인 미만 사업장 해고 구제 방법 3가지 — 부당해고 대응 | 로앤가이드
