source_domain,source_slug,dead_destination_domain,dead_destination_slug,link_label,source_gsc_impressions,source_gsc_clicks,recommended_replacement_slug,recommendation_type,similarity_note,notes,phase1_action
traffic-accident,traffic-accident-hitandrun-charge-first-response,dui,dui-hitandrun-penalty,음주운전 뺑소니 처벌 기준,,,dui-second-offense-penalty,replace_low,similarity=0.64,,replace
traffic-accident,traffic-accident-hitandrun-charge-first-response,traffic-accident,traffic-accident-settlement-fair-amount,교통사고 합의금 산정 기준,,,traffic-accident-settlement-mistakes,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-hitandrun-charge-first-response,insurance,insurance-traffic-accident-claim,자동차보험 사고 처리 절차,,,,hub_or_delete,no candidate domain,,delete
traffic-accident,traffic-accident-lane-violation-criminal-penalty,traffic-accident,traffic-accident-settlement-fair-amount,교통사고 합의금 청구 기준,,,traffic-accident-settlement-mistakes,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-lane-violation-criminal-penalty,dui,dui-accident-criminal-response,음주운전 교통사고 처벌,,,dui-traffic-accident-response,replace,similarity=0.71,,replace
traffic-accident,traffic-accident-lane-violation-criminal-penalty,insurance,insurance-dispute-resolution,자동차보험 분쟁조정 신청 방법,,,,hub_or_delete,no candidate domain,,delete
traffic-accident,traffic-accident-pedestrian-cyclist-victim-compensation,traffic-accident,traffic-accident-settlement-fair-amount,교통사고 합의금 적정 금액 기준,,,traffic-accident-settlement-mistakes,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-pedestrian-cyclist-victim-compensation,insurance,insurance-dispute-resolution,자동차보험 분쟁조정 신청 방법,,,,hub_or_delete,no candidate domain,,delete
traffic-accident,traffic-accident-pedestrian-cyclist-victim-compensation,traffic-accident,traffic-accident-no-dashcam-fault,교통사고 블랙박스 없을 때 과실 다투는 법,,,traffic-accident-uturn-oncoming-fault,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-centerline-violation-victim-lawsuit,traffic-accident,traffic-accident-settlement-fair-amount,교통사고 합의금 적정 금액 기준,,,traffic-accident-settlement-mistakes,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-centerline-violation-victim-lawsuit,insurance,insurance-dispute-resolution,자동차보험 분쟁조정 신청 방법,,,,hub_or_delete,no candidate domain,,delete
traffic-accident,traffic-accident-centerline-violation-victim-lawsuit,traffic-accident,traffic-accident-lawsuit-procedure,교통사고 손해배상 소송 절차,,,traffic-accident-criminal-civil-procedure,replace,similarity=0.77,,replace
divorce,divorce-after-spouse-death-property-claim,divorce,property-division,재산분할 청구 절차,,,property-division-ratio,replace,similarity=0.85,,replace
divorce,divorce-asset-disposal-grounds,divorce,property-division,재산분할 청구 방법,,,property-division-ratio,replace,similarity=0.85,,replace
divorce,divorce-both-fault-affair-third-party-claim,divorce,property-division,재산분할 청구 방법,,,property-division-ratio,replace,similarity=0.85,,replace
divorce,divorce-past-child-support-claim-years-later,divorce,property-division,재산분할 청구 방법,,,property-division-ratio,replace,similarity=0.85,,replace
dismissal,dismissal-maternity-return-fired,dismissal,dismissal-unfair-relief-application,부당해고 구제신청,,,unfair-dismissal-relief-application-form,replace,similarity=0.75,,replace
dismissal,dismissal-restructuring-unfair-criteria,dismissal,dismissal-unfair-relief-application,부당해고 구제신청,,,unfair-dismissal-relief-application-form,replace,similarity=0.75,,replace
dismissal,dismissal-verbal-only-no-document,dismissal,dismissal-unfair-relief-application,부당해고 구제신청,,,unfair-dismissal-relief-application-form,replace,similarity=0.75,,replace
dismissal,dismissal-union-activity-retaliation,dismissal,dismissal-unfair-relief-application,부당해고 구제신청,,,unfair-dismissal-relief-application-form,replace,similarity=0.75,,replace
dismissal,dismissal-union-activity-retaliation,dismissal,dismissal-workplace-bullying-remedies,직장 내 괴롭힘 해고,,,dismissal-workplace-closure-layoff,replace_low,similarity=0.65,,replace
divorce,divorce-international-marriage-procedure,divorce,child-support-claim-where-to-start,양육비 청구,,,child-support-calculation-standard,replace,similarity=0.71,,replace
child-support,child-support-adult-child-retroactive,divorce,child-support-enforcement-methods,양육비 강제집행,,,divorce-child-support-enforcement-guide,replace,similarity=0.75,,replace
child-support,child-support-adult-child-retroactive,child-support,child-support-direct-vs-agency-comparison,양육비이행관리원,,,child-support-agency-collection-limits,replace_low,similarity=0.66,,replace
wage,wage-pogual-retired-backpay,retirement,retirement-unpaid-complaint-steps,퇴직금 미지급 신고 절차,,,retirement-pay-complaint,replace,similarity=0.81,,replace
unemployment,unemployment-training-allowance,unemployment,unemployment-part-time-income-limit,실업급여 수급 중 알바,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
unemployment,unemployment-missed-attendance,unemployment,unemployment-part-time-income-limit,실업급여 수급 중 알바,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
traffic-accident,traffic-accident-electric-scooter-liability,traffic-accident,insurance-claim-process-summary,보험금 청구 절차,,,insurance-claim-required-docs,replace_low,similarity=0.67,,replace
traffic-accident,traffic-accident-parking-lot-collision,traffic-accident,insurance-claim-process-summary,보험금 청구 절차,,,insurance-claim-required-docs,replace_low,similarity=0.67,,replace
traffic-accident,traffic-accident-school-zone-child,traffic-accident,insurance-claim-process-summary,보험금 청구 절차,,,insurance-claim-required-docs,replace_low,similarity=0.67,,replace
child-support,child-support-grandparent-custody-claim,child-support,child-support-lawsuit-procedure,양육비 소송 절차,,,child-support-lawsuit-process,replace,similarity=0.90,,replace
unemployment,unemployment-dual-job-one-lost,unemployment,unemployment-part-time-income-limit,수급 중 파트타임 근로,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
dismissal,dismissal-recommended-resign-trap,dismissal,dismissal-recommended-resignation-check,권고사직 체크리스트,,,dismissal-recommended-resign-trap,replace,similarity=0.81,,replace
dismissal,dismissal-parental-leave-fired,dismissal,dismissal-recommended-resignation-check,권고사직 체크,,,dismissal-recommended-resign-trap,replace,similarity=0.81,,replace
dismissal,dismissal-immediate-fire-conditions,dismissal,dismissal-probation-unfair-cases,수습해고 대응,,,dismissal-part-time-unfair,replace,similarity=0.72,,replace
divorce,divorce-child-support-increase,child-support,child-support-calculation-guide,양육비 산정 기준,,,child-support-calculation-table,replace,similarity=0.87,,replace
divorce,divorce-child-support-increase,child-support,child-support-enforcement-guide,양육비 강제집행,,,child-support-enforcement-method,replace,similarity=0.86,,replace
divorce,divorce-child-support-increase,child-support,child-support-enforcement-order,양육비이행관리원,,,child-support-enforcement-order-apply,replace,similarity=0.91,,replace
divorce,divorce-visitation-denied-response,child-support,child-support-calculation-guide,양육비 산정 기준,,,child-support-calculation-table,replace,similarity=0.87,,replace
divorce,divorce-visitation-denied-response,child-support,child-support-enforcement-guide,양육비 강제집행,,,child-support-enforcement-method,replace,similarity=0.86,,replace
jeonse,jeonse-renewal-landlord-refusal,jeonse,jeonse-deposit-not-returned-response,전세 보증금 미반환,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
jeonse,jeonse-renewal-landlord-refusal,jeonse,jeonse-deposit-not-returned-response,임대차분쟁조정,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
jeonse,jeonse-deposit-priority-competing,jeonse,jeonse-deposit-not-returned-response,전세 보증금 미반환,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
retirement,retirement-less-than-1year-eligibility,retirement,retirement-contract-worker-under-1year,계약직 1년 미만,,,retirement-short-term-executive-1year-claim,replace_low,similarity=0.64,,replace
retirement,retirement-construction-daily-claim,retirement,retirement-contract-worker-under-1year,일용직 퇴직금,,,retirement-short-term-executive-1year-claim,replace_low,similarity=0.64,,replace
unemployment,unemployment-probation-fired,dismissal,dismissal-probation-unfair-cases,수습기간 부당해고,,,dismissal-part-time-unfair,replace,similarity=0.72,,replace
child-support,child-support-modification-income-change,child-support,child-support-calculation-standard,양육비 산정 기준,,,child-support-calculation-table,replace,similarity=0.86,,replace
jeonse,jeonse-contract-special-agreement-checklist,jeonse,jeonse-deposit-not-returned-response,전세 보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
jeonse,jeonse-contract-special-agreement-checklist,jeonse,shell-jeonse-verification-checklist,깡통전세 확인법,,,jeonse-insurance-claim-checklist,replace_low,similarity=0.57,,replace
jeonse,jeonse-monthly-conversion-tenant-rights,jeonse,jeonse-deposit-not-returned-response,전세 보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
jeonse,jeonse-monthly-conversion-tenant-rights,jeonse,shell-jeonse-verification-checklist,깡통전세 확인법,,,jeonse-insurance-claim-checklist,replace_low,similarity=0.57,,replace
unemployment,unemployment-sexual-harassment-quit-benefit,unemployment,unemployment-harassment-quit,직장 괴롭힘 퇴사 실업급여,,,unemployment-health-quit,replace,similarity=0.81,,replace
unemployment,unemployment-job-search-recognized-types,unemployment,unemployment-part-time-income-limit,아르바이트 소득 한도,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
unemployment,unemployment-benefit-reduction-penalty,unemployment,unemployment-part-time-income-limit,아르바이트 소득 한도,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
jeonse,jeonse-tenant-registration-requirement,jeonse,jeonse-deposit-not-returned-response,전세 보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
jeonse,jeonse-broker-liability-failure,jeonse,jeonse-deposit-not-returned-response,전세 보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
traffic-accident,traffic-accident-dui-blood-test-timing,traffic-accident,dui-traffic-accident-response,음주 교통사고 대응,,,traffic-accident-injury-compensation,replace_low,similarity=0.68,,replace
child-support,child-support-enforcement-contempt-order,child-support,child-support-lawsuit-procedure,양육비 소송 절차,,,child-support-lawsuit-process,replace,similarity=0.90,,replace
jeonse,jeonse-sublet-sublease-protection,jeonse,jeonse-deposit-not-returned-response,보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
jeonse,jeonse-landlord-tax-delinquent-risk,jeonse,jeonse-deposit-not-returned-response,보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
unemployment,unemployment-childcare-return-demotion,unemployment,unemployment-part-time-income-limit,수급 중 소득 제한,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
unemployment,unemployment-side-income-during-benefit,unemployment,unemployment-part-time-income-limit,수급 중 소득 제한,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
jeonse,jeonse-deposit-return-comprehensive-guide,jeonse,jeonse-deposit-not-returned-response,보증금 미반환 대응,,,jeonse-partial-deposit-return-response,replace,similarity=0.81,,replace
unemployment,unemployment-comprehensive-benefit-amount-guide,unemployment,unemployment-part-time-income-limit,수급 중 소득 제한,,,unemployment-repeat-claim-limit,replace,similarity=0.76,,replace
unemployment,unemployment-disability-worker-special-eligibility,unemployment,unemployment-full-process,실업급여 전체 절차 가이드,,,unemployment-fraud-penalty-response,replace,similarity=0.70,,replace
unemployment,unemployment-part-time-dual-job-combined-benefit,unemployment,unemployment-full-process,실업급여 전체 절차 가이드,,,unemployment-fraud-penalty-response,replace,similarity=0.70,,replace
unemployment,unemployment-wrongful-denial-appeal-procedure,unemployment,unemployment-full-process,실업급여 전체 절차 가이드,,,unemployment-fraud-penalty-response,replace,similarity=0.70,,replace
dismissal,dismissal-military-return-reinstatement-denied,dismissal,dismissal-fired-response-guide,해고 당했을 때 대응 가이드,,,dismissal-fixed-term-renewal-right,replace_low,similarity=0.66,,replace
dismissal,dismissal-military-return-reinstatement-denied,unemployment,unemployment-full-process,실업급여 전체 절차 가이드,,,unemployment-fraud-penalty-response,replace,similarity=0.70,,replace
dismissal,dismissal-probation-repeated-extension-unfair,dismissal,dismissal-fired-response-guide,해고 당했을 때 대응 가이드,,,dismissal-fixed-term-renewal-right,replace_low,similarity=0.66,,replace
traffic-accident,traffic-accident-roundabout-fault-standard,traffic-accident,traffic-accident-settlement-process,교통사고 합의 절차,,,accident-settlement-process,replace,similarity=0.87,,replace
traffic-accident,traffic-accident-roundabout-fault-standard,traffic-accident,traffic-insurance-claim-guide,보험사 보상 요령,,,traffic-accident-insurance-claim-comprehensive,replace_low,similarity=0.69,,replace
traffic-accident,traffic-accident-roundabout-fault-standard,dui,dui-accident-victim-compensation,음주운전 사고 대응,,,dui-pedestrian-victim-compensation,replace,similarity=0.82,,replace
traffic-accident,traffic-accident-roundabout-fault-standard,traffic-accident,traffic-accident-criminal-settlement,교통사고 형사합의,,,traffic-accident-bicycle-pedestrian-settlement,replace,similarity=0.78,,replace
traffic-accident,traffic-accident-roundabout-fault-standard,traffic-accident,traffic-accident-evidence-collection,교통사고 증거 확보,,,traffic-accident-bicycle-compensation,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,traffic-accident-settlement-process,교통사고 합의 절차,,,accident-settlement-process,replace,similarity=0.87,,replace
traffic-accident,traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,traffic-accident-evidence-collection,교통사고 증거 확보,,,traffic-accident-bicycle-compensation,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,traffic-insurance-claim-guide,보험사 보상 요령,,,traffic-accident-insurance-claim-comprehensive,replace_low,similarity=0.69,,replace
traffic-accident,traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,traffic-accident-criminal-settlement,교통사고 형사합의,,,traffic-accident-bicycle-pedestrian-settlement,replace,similarity=0.78,,replace
traffic-accident,traffic-accident-bus-sudden-stop-passenger-claim,dui,dui-accident-victim-compensation,음주운전 사고 대응,,,dui-pedestrian-victim-compensation,replace,similarity=0.82,,replace
jeonse,jeonse-landlord-change-deposit-risk,jeonse,jeonse-registration-order-procedure,임차권등기명령 절차,,,lease-registration-order-process,replace,similarity=0.84,,replace
jeonse,jeonse-landlord-change-deposit-risk,jeonse,jeonse-fraud-prevention-checklist,전세사기 예방 가이드,,,jeonse-contract-special-agreement-checklist,replace_low,similarity=0.68,,replace
jeonse,jeonse-landlord-change-deposit-risk,jeonse,small-deposit-tenant-protection,소액임차인 보호,,,no-registration-deposit-protection,replace_low,similarity=0.65,,replace
jeonse,jeonse-landlord-change-deposit-risk,jeonse,jeonse-auction-distribution-guide,경매 보증금 배당,,,jeonse-auction-priority-distribution-procedure,replace,similarity=0.76,,replace
jeonse,jeonse-deposit-guarantee-insurance-guide,jeonse,jeonse-fraud-relief-timeline,전세사기 피해 구제 타임라인,,,jeonse-renewal-refused-relocation-cost,replace_low,similarity=0.52,,replace
unemployment,unemployment-disabled-extension-special,unemployment,unemployment-disability-special-benefit,장애인 특별연장 심사,,,unemployment-disability-worker-special-eligibility,replace,similarity=0.79,,replace
retirement,retirement-interim-settlement-2024-rules,retirement,retirement-interim-settlement-eligible-7,중간정산 요건 상세,,,retirement-interim-settlement-guide,replace,similarity=0.83,,replace
retirement,retirement-interim-settlement-2024-rules,retirement,retirement-pay-formula,퇴직금 계산 공식,,,retirement-pay-formula-guide,replace,similarity=0.88,,replace
retirement,retirement-interim-settlement-2024-rules,retirement,retirement-pay-14day-rule-explained,퇴직금 14일 지급 원칙,,,retirement-pay-14day-rule-detail,replace,similarity=0.87,,replace
retirement,retirement-interim-settlement-2024-rules,retirement,retirement-pay-overdue-14days,퇴직금 강제집행 절차,,,retirement-company-closure-claim,replace_low,similarity=0.66,,replace
retirement,retirement-stock-option-included,retirement,retirement-pay-formula,퇴직금 계산 공식,,,retirement-pay-formula-guide,replace,similarity=0.88,,replace
retirement,retirement-stock-option-included,retirement,retirement-bonus-included,상여금 평균임금 포함,,,retirement-bonus-performance-included,replace,similarity=0.81,,replace
retirement,retirement-stock-option-included,retirement,retirement-recalculation-error,퇴직금 재계산 오류,,,retirement-recalculation-wrong-amount,replace,similarity=0.81,,replace
retirement,retirement-business-acquisition-succession,retirement,retirement-merger-successor,합병 후 근속 승계,,,retirement-merger-successor-liability,replace,similarity=0.84,,replace
retirement,retirement-business-acquisition-succession,retirement,retirement-company-split-claim,회사 분할 근속,,,retirement-company-closure-claim,replace,similarity=0.84,,replace
retirement,retirement-business-acquisition-succession,retirement,retirement-pay-formula,퇴직금 계산 공식,,,retirement-pay-formula-guide,replace,similarity=0.88,,replace
retirement,retirement-business-acquisition-succession,retirement,retirement-interim-settlement-eligible-7,중간정산 요건,,,retirement-interim-settlement-guide,replace,similarity=0.83,,replace
wage,wage-holiday-work-calculation-method,wage,wage-night-overtime-calculation,야근수당 계산 방법,,,wage-night-overtime-exact-calculation,replace,similarity=0.91,,replace
wage,wage-holiday-work-calculation-method,wage,wage-minimum-weekly-holiday,주휴수당 지급 기준,,,wage-minimum-weekly-holiday-included,replace,similarity=0.86,,replace
wage,wage-holiday-work-calculation-method,wage,wage-report-to-labor-ministry,임금체불 청구 절차,,,wage-bankrupt-employer-how-to-claim,replace_low,similarity=0.53,,replace
wage,wage-holiday-work-calculation-method,wage,wage-holiday-special-pay,통상임금 판단 기준,,,wage-holiday-special-pay-claim,replace,similarity=0.89,,replace
wage,wage-holiday-work-calculation-method,wage,wage-overtime-pay-calculation,연장근로수당 계산,,,wage-night-overtime-exact-calculation,replace,similarity=0.82,,replace
wage,wage-comprehensive-legal-test,wage,wage-holiday-special-pay,통상임금 기준,,,wage-holiday-special-pay-claim,replace,similarity=0.89,,replace
wage,wage-comprehensive-legal-test,wage,wage-report-to-labor-ministry,임금체불 청구 절차,,,wage-bankrupt-employer-how-to-claim,replace_low,similarity=0.53,,replace
wage,wage-comprehensive-legal-test,wage,wage-overtime-pay-calculation,연장근로 계산,,,wage-night-overtime-exact-calculation,replace,similarity=0.82,,replace
wage,wage-unpaid-bonus-performance-lawsuit,wage,wage-performance-bonus-claim,성과급 임금성 상세,,,unpaid-wage-performance-bonus-claim,replace,similarity=0.89,,replace
wage,wage-unpaid-bonus-performance-lawsuit,wage,wage-holiday-special-pay,통상임금 판단 기준,,,wage-holiday-special-pay-claim,replace,similarity=0.89,,replace
wage,wage-unpaid-bonus-performance-lawsuit,wage,wage-report-to-labor-ministry,임금체불 청구 절차,,,wage-bankrupt-employer-how-to-claim,replace_low,similarity=0.53,,replace
wage,wage-unpaid-bonus-performance-lawsuit,retirement,retirement-bonus-included,상여금 평균임금 포함,,,retirement-bonus-performance-included,replace,similarity=0.81,,replace
wage,wage-unpaid-bonus-performance-lawsuit,wage,wage-retaliation-after-complaint,재직 중 임금체불 대응,,,minimum-wage-violation-complaint,replace_low,similarity=0.66,,replace
dismissal,dismissal-fixed-term-non-renewal-remedy,dismissal,dismissal-relief-application-how,부당해고 구제 절차,,,unfair-dismissal-relief-application-form,replace,similarity=0.83,,replace
dismissal,dismissal-fixed-term-non-renewal-remedy,dismissal,dismissal-unfair-relief,부당해고 구제 3개월,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
dismissal,dismissal-ceo-change-unfair-dismissal,dismissal,dismissal-relief-application-how,부당해고 구제 절차,,,unfair-dismissal-relief-application-form,replace,similarity=0.83,,replace
dismissal,dismissal-health-reason-defense,dismissal,dismissal-relief-application-how,부당해고 구제 절차,,,unfair-dismissal-relief-application-form,replace,similarity=0.83,,replace
dismissal,dismissal-health-reason-defense,dismissal,dismissal-sick-leave-fired,병가·휴직 중 해고,,,dismissal-sick-leave-return-fired,replace,similarity=0.88,,replace
divorce,divorce-domestic-violence-evidence-collection,divorce,divorce-first-step-guide,이혼 시작 가이드,,,divorce-asset-disposal-grounds,replace_low,similarity=0.63,,replace
divorce,divorce-domestic-violence-evidence-collection,divorce,divorce-domestic-violence-escape,가정폭력 대피·보호명령,,,divorce-domestic-violence-emergency-shelter,replace,similarity=0.77,,replace
divorce,divorce-domestic-violence-evidence-collection,divorce,divorce-restraining-order,접근금지 가처분,,,divorce-restraining-order-protection,replace,similarity=0.82,,replace
divorce,divorce-domestic-violence-evidence-collection,divorce,divorce-property-division-basics,이혼 재산분할 기본,,,divorce-property-division-inheritance,replace,similarity=0.81,,replace
divorce,divorce-domestic-violence-evidence-collection,divorce,divorce-custody-mother-strategy,자녀 양육권 전략,,,divorce-child-custody-father-strategy,replace,similarity=0.85,,replace
divorce,divorce-foreign-spouse-visa-issue,divorce,divorce-first-step-guide,이혼 시작 가이드,,,divorce-asset-disposal-grounds,replace_low,similarity=0.63,,replace
divorce,divorce-foreign-spouse-visa-issue,divorce,divorce-custody-mother-strategy,자녀 양육권 전략,,,divorce-child-custody-father-strategy,replace,similarity=0.85,,replace
divorce,divorce-foreign-spouse-visa-issue,divorce,divorce-property-division-basics,재산분할 기본,,,divorce-property-division-inheritance,replace,similarity=0.81,,replace
child-support,child-support-lump-sum-negotiation,child-support,child-support-calculation-guide,양육비 계산 가이드,,,child-support-calculation-table,replace,similarity=0.87,,replace
child-support,child-support-lump-sum-negotiation,child-support,child-support-enforcement-guide,양육비 집행 절차,,,child-support-enforcement-method,replace,similarity=0.86,,replace
child-support,child-support-lump-sum-negotiation,child-support,child-support-modification,양육비 증액 심판,,,child-support-modification-income-change,replace,similarity=0.79,,replace
child-support,child-support-lump-sum-negotiation,child-support,child-support-enforcement-order,양육비 직접지급명령,,,child-support-enforcement-order-apply,replace,similarity=0.91,,replace
child-support,child-support-lump-sum-negotiation,divorce,divorce-consensual-documents-needed,공정증서 활용법,,,divorce-consensual-no-custody-agreement-blocked,replace,similarity=0.71,,replace
divorce,divorce-alimony-tax-treatment,divorce,divorce-property-division-basics,이혼 재산분할 기본,,,divorce-property-division-inheritance,replace,similarity=0.81,,replace
divorce,divorce-alimony-tax-treatment,divorce,divorce-property-division-preparation,재산분할 준비,,,divorce-property-division-scope-faq,replace,similarity=0.81,,replace
divorce,divorce-alimony-tax-treatment,divorce,divorce-alimony-calculation-guide,위자료 산정,,,divorce-alimony-calculation-standard,replace,similarity=0.84,,replace
divorce,divorce-mediation-failure-next-step,divorce,divorce-first-step-guide,이혼 시작 가이드,,,divorce-asset-disposal-grounds,replace_low,similarity=0.63,,replace
