source_page,source_domain,dead_destination,dead_destination_domain,recommended_replacement_slug,replacement_domain,recommendation_type,confidence_score,reason,apply_round
/guide/stalking/stalking-emergency-measure-application,stalking,/guide/stalking/stalking-protection-order-request,stalking,stalking-emergency-protection-order-apply,stalking,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/stalking/ex-persistent-contact-legal-action,stalking,/guide/stalking/stalking-evidence-collection-guide,stalking,stalking-evidence-collection-faq,stalking,replace,0.854,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/unemployment/benefit-application-rejection-5-reasons,unemployment,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/unemployment/voluntary-quit-approved-case-types,unemployment,/guide/dismissal/dismissal-fired-first-24hours,dismissal,fired-notice-first-24-hours,dismissal,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/unemployment/first-application-employment-center-checklist,unemployment,/guide/dismissal/dismissal-recommended-resignation-check,dismissal,dismissal-recommended-resign-trap,dismissal,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/wage/wage-complaint-kakao-bank-evidence-enough,wage,/guide/dismissal/dismissal-fired-first-24hours,dismissal,fired-notice-first-24-hours,dismissal,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/wage/partial-salary-payment-response-steps,wage,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/wage/wage-minimum-weekly-holiday-included,wage,/guide/retirement/retirement-pay-claim-procedure,retirement,retirement-pay-claim-where-to-start,retirement,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/wage/wage-minimum-weekly-holiday-included,wage,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/wage/wage-freelancer-worker-status-claim,wage,/guide/retirement/retirement-pay-claim-procedure,retirement,retirement-pay-claim-where-to-start,retirement,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/wage/wage-freelancer-worker-status-claim,wage,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/wage/wage-employment-rule-change-unfavorable,wage,/guide/retirement/retirement-pay-claim-procedure,retirement,retirement-pay-claim-where-to-start,retirement,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/wage/wage-employment-rule-change-unfavorable,wage,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/wage/wage-bankrupt-employer-how-to-claim,wage,/guide/retirement/retirement-pay-claim-procedure,retirement,retirement-pay-claim-where-to-start,retirement,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/wage/wage-bankrupt-employer-how-to-claim,wage,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/wage/wage-pogualkeum-overtime-void-claim,wage,/guide/retirement/retirement-pay-claim-procedure,retirement,retirement-pay-claim-where-to-start,retirement,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/wage/wage-pogualkeum-overtime-void-claim,wage,/guide/dismissal/dismissal-unfair-relief,dismissal,dismissal-office-romance-fired-relief,dismissal,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-offender-criminal-charge-response,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-fair-amount,traffic-accident,traffic-accident-settlement-mistakes,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-offender-criminal-charge-response,traffic-accident,/guide/dui/dui-accident-criminal-response,dui,dui-traffic-accident-response,dui,replace,0.76,"sim 0.71, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-offender-criminal-charge-response,traffic-accident,/guide/insurance/insurance-traffic-accident-claim,insurance,,insurance,hub_or_delete,0.12,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-hitandrun-charge-first-response,traffic-accident,/guide/dui/dui-hitandrun-penalty,dui,dui-second-offense-penalty,dui,replace_low,0.722,"sim 0.64, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-hitandrun-charge-first-response,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-fair-amount,traffic-accident,traffic-accident-settlement-mistakes,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-hitandrun-charge-first-response,traffic-accident,/guide/insurance/insurance-traffic-accident-claim,insurance,,insurance,hub_or_delete,0.12,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-lane-violation-criminal-penalty,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-fair-amount,traffic-accident,traffic-accident-settlement-mistakes,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-lane-violation-criminal-penalty,traffic-accident,/guide/dui/dui-accident-criminal-response,dui,dui-traffic-accident-response,dui,replace,0.76,"sim 0.71, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-lane-violation-criminal-penalty,traffic-accident,/guide/insurance/insurance-dispute-resolution,insurance,,insurance,hub_or_delete,0.12,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-pedestrian-cyclist-victim-compensation,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-fair-amount,traffic-accident,traffic-accident-settlement-mistakes,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-pedestrian-cyclist-victim-compensation,traffic-accident,/guide/insurance/insurance-dispute-resolution,insurance,,insurance,hub_or_delete,0.12,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-pedestrian-cyclist-victim-compensation,traffic-accident,/guide/traffic-accident/traffic-accident-no-dashcam-fault,traffic-accident,traffic-accident-uturn-oncoming-fault,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-centerline-violation-victim-lawsuit,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-fair-amount,traffic-accident,traffic-accident-settlement-mistakes,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-centerline-violation-victim-lawsuit,traffic-accident,/guide/insurance/insurance-dispute-resolution,insurance,,insurance,hub_or_delete,0.12,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-centerline-violation-victim-lawsuit,traffic-accident,/guide/traffic-accident/traffic-accident-lawsuit-procedure,traffic-accident,traffic-accident-criminal-civil-procedure,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/divorce/divorce-after-spouse-death-property-claim,divorce,/guide/divorce/property-division,divorce,property-division-ratio,divorce,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/divorce/divorce-asset-disposal-grounds,divorce,/guide/divorce/property-division,divorce,property-division-ratio,divorce,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/divorce/divorce-both-fault-affair-third-party-claim,divorce,/guide/divorce/property-division,divorce,property-division-ratio,divorce,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/divorce/divorce-past-child-support-claim-years-later,divorce,/guide/divorce/property-division,divorce,property-division-ratio,divorce,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/dismissal/dismissal-maternity-return-fired,dismissal,/guide/dismissal/dismissal-unfair-relief-application,dismissal,unfair-dismissal-relief-application-form,dismissal,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/dismissal/dismissal-restructuring-unfair-criteria,dismissal,/guide/dismissal/dismissal-unfair-relief-application,dismissal,unfair-dismissal-relief-application-form,dismissal,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/dismissal/dismissal-verbal-only-no-document,dismissal,/guide/dismissal/dismissal-unfair-relief-application,dismissal,unfair-dismissal-relief-application-form,dismissal,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/dismissal/dismissal-union-activity-retaliation,dismissal,/guide/dismissal/dismissal-unfair-relief-application,dismissal,unfair-dismissal-relief-application-form,dismissal,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/dismissal/dismissal-union-activity-retaliation,dismissal,/guide/dismissal/dismissal-workplace-bullying-remedies,dismissal,dismissal-workplace-closure-layoff,dismissal,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/divorce/divorce-international-marriage-procedure,divorce,/guide/divorce/child-support-claim-where-to-start,divorce,child-support-calculation-standard,divorce,replace,0.76,"sim 0.71, needs review",hold_low_confidence
/guide/child-support/child-support-adult-child-retroactive,child-support,/guide/divorce/child-support-enforcement-methods,divorce,divorce-child-support-enforcement-guide,divorce,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/child-support/child-support-adult-child-retroactive,child-support,/guide/child-support/child-support-direct-vs-agency-comparison,child-support,child-support-agency-collection-limits,child-support,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/wage/wage-pogual-retired-backpay,wage,/guide/retirement/retirement-unpaid-complaint-steps,retirement,retirement-pay-complaint,retirement,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/unemployment-training-allowance,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/unemployment/unemployment-missed-attendance,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-electric-scooter-liability,traffic-accident,/guide/traffic-accident/insurance-claim-process-summary,traffic-accident,insurance-claim-required-docs,traffic-accident,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-parking-lot-collision,traffic-accident,/guide/traffic-accident/insurance-claim-process-summary,traffic-accident,insurance-claim-required-docs,traffic-accident,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-school-zone-child,traffic-accident,/guide/traffic-accident/insurance-claim-process-summary,traffic-accident,insurance-claim-required-docs,traffic-accident,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/child-support/child-support-grandparent-custody-claim,child-support,/guide/child-support/child-support-lawsuit-procedure,child-support,child-support-lawsuit-process,child-support,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/unemployment/unemployment-dual-job-one-lost,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/dismissal/dismissal-recommended-resign-trap,dismissal,/guide/dismissal/dismissal-recommended-resignation-check,dismissal,dismissal-recommended-resign-trap,dismissal,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/dismissal/dismissal-parental-leave-fired,dismissal,/guide/dismissal/dismissal-recommended-resignation-check,dismissal,dismissal-recommended-resign-trap,dismissal,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/dismissal/dismissal-immediate-fire-conditions,dismissal,/guide/dismissal/dismissal-probation-unfair-cases,dismissal,dismissal-part-time-unfair,dismissal,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/divorce/divorce-child-support-increase,divorce,/guide/child-support/child-support-calculation-guide,child-support,child-support-calculation-table,child-support,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/divorce/divorce-child-support-increase,divorce,/guide/child-support/child-support-enforcement-guide,child-support,child-support-enforcement-method,child-support,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/divorce/divorce-child-support-increase,divorce,/guide/child-support/child-support-enforcement-order,child-support,child-support-enforcement-order-apply,child-support,replace,0.871,"replace + sim≥0.85 + repl_exists + priority, conf=0.87",round1_replace_high_confidence
/guide/divorce/divorce-visitation-denied-response,divorce,/guide/child-support/child-support-calculation-guide,child-support,child-support-calculation-table,child-support,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/divorce/divorce-visitation-denied-response,divorce,/guide/child-support/child-support-enforcement-guide,child-support,child-support-enforcement-method,child-support,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/jeonse/jeonse-renewal-landlord-refusal,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/jeonse/jeonse-renewal-landlord-refusal,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/jeonse/jeonse-deposit-priority-competing,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/retirement/retirement-less-than-1year-eligibility,retirement,/guide/retirement/retirement-contract-worker-under-1year,retirement,retirement-short-term-executive-1year-claim,retirement,replace_low,0.722,"sim 0.64, needs review",hold_low_confidence
/guide/retirement/retirement-construction-daily-claim,retirement,/guide/retirement/retirement-contract-worker-under-1year,retirement,retirement-short-term-executive-1year-claim,retirement,replace_low,0.722,"sim 0.64, needs review",hold_low_confidence
/guide/unemployment/unemployment-probation-fired,unemployment,/guide/dismissal/dismissal-probation-unfair-cases,dismissal,dismissal-part-time-unfair,dismissal,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/child-support/child-support-modification-income-change,child-support,/guide/child-support/child-support-calculation-standard,child-support,child-support-calculation-table,child-support,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/jeonse/jeonse-contract-special-agreement-checklist,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/jeonse/jeonse-contract-special-agreement-checklist,jeonse,/guide/jeonse/shell-jeonse-verification-checklist,jeonse,jeonse-insurance-claim-checklist,jeonse,replace_low,0.683,"sim 0.57, needs review",hold_low_confidence
/guide/jeonse/jeonse-monthly-conversion-tenant-rights,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/jeonse/jeonse-monthly-conversion-tenant-rights,jeonse,/guide/jeonse/shell-jeonse-verification-checklist,jeonse,jeonse-insurance-claim-checklist,jeonse,replace_low,0.683,"sim 0.57, needs review",hold_low_confidence
/guide/unemployment/unemployment-sexual-harassment-quit-benefit,unemployment,/guide/unemployment/unemployment-harassment-quit,unemployment,unemployment-health-quit,unemployment,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/unemployment-job-search-recognized-types,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/unemployment/unemployment-benefit-reduction-penalty,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/jeonse/jeonse-tenant-registration-requirement,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/jeonse/jeonse-broker-liability-failure,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-dui-blood-test-timing,traffic-accident,/guide/traffic-accident/dui-traffic-accident-response,traffic-accident,traffic-accident-injury-compensation,traffic-accident,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/child-support/child-support-enforcement-contempt-order,child-support,/guide/child-support/child-support-lawsuit-procedure,child-support,child-support-lawsuit-process,child-support,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/jeonse/jeonse-sublet-sublease-protection,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/jeonse/jeonse-landlord-tax-delinquent-risk,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/unemployment-childcare-return-demotion,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/unemployment/unemployment-side-income-during-benefit,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/jeonse/jeonse-deposit-return-comprehensive-guide,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/unemployment-comprehensive-benefit-amount-guide,unemployment,/guide/unemployment/unemployment-part-time-income-limit,unemployment,unemployment-repeat-claim-limit,unemployment,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/unemployment/unemployment-disability-worker-special-eligibility,unemployment,/guide/unemployment/unemployment-full-process,unemployment,unemployment-fraud-penalty-response,unemployment,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/unemployment/unemployment-part-time-dual-job-combined-benefit,unemployment,/guide/unemployment/unemployment-full-process,unemployment,unemployment-fraud-penalty-response,unemployment,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/unemployment/unemployment-wrongful-denial-appeal-procedure,unemployment,/guide/unemployment/unemployment-full-process,unemployment,unemployment-fraud-penalty-response,unemployment,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/dismissal/dismissal-military-return-reinstatement-denied,dismissal,/guide/dismissal/dismissal-fired-response-guide,dismissal,dismissal-fixed-term-renewal-right,dismissal,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/dismissal/dismissal-military-return-reinstatement-denied,dismissal,/guide/unemployment/unemployment-full-process,unemployment,unemployment-fraud-penalty-response,unemployment,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/dismissal/dismissal-probation-repeated-extension-unfair,dismissal,/guide/dismissal/dismissal-fired-response-guide,dismissal,dismissal-fixed-term-renewal-right,dismissal,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-roundabout-fault-standard,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-process,traffic-accident,accident-settlement-process,traffic-accident,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/traffic-accident/traffic-accident-roundabout-fault-standard,traffic-accident,/guide/traffic-accident/traffic-insurance-claim-guide,traffic-accident,traffic-accident-insurance-claim-comprehensive,traffic-accident,replace_low,0.75,"sim 0.69, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-roundabout-fault-standard,traffic-accident,/guide/dui/dui-accident-victim-compensation,dui,dui-pedestrian-victim-compensation,dui,replace,0.821,"sim 0.82, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-roundabout-fault-standard,traffic-accident,/guide/traffic-accident/traffic-accident-criminal-settlement,traffic-accident,traffic-accident-bicycle-pedestrian-settlement,traffic-accident,replace,0.799,"sim 0.78, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-roundabout-fault-standard,traffic-accident,/guide/traffic-accident/traffic-accident-evidence-collection,traffic-accident,traffic-accident-bicycle-compensation,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,/guide/traffic-accident/traffic-accident-settlement-process,traffic-accident,accident-settlement-process,traffic-accident,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,/guide/traffic-accident/traffic-accident-evidence-collection,traffic-accident,traffic-accident-bicycle-compensation,traffic-accident,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,/guide/traffic-accident/traffic-insurance-claim-guide,traffic-accident,traffic-accident-insurance-claim-comprehensive,traffic-accident,replace_low,0.75,"sim 0.69, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,/guide/traffic-accident/traffic-accident-criminal-settlement,traffic-accident,traffic-accident-bicycle-pedestrian-settlement,traffic-accident,replace,0.799,"sim 0.78, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,traffic-accident,/guide/dui/dui-accident-victim-compensation,dui,dui-pedestrian-victim-compensation,dui,replace,0.821,"sim 0.82, needs review",hold_low_confidence
/guide/jeonse/jeonse-landlord-change-deposit-risk,jeonse,/guide/jeonse/jeonse-registration-order-procedure,jeonse,lease-registration-order-process,jeonse,replace,0.832,"replace + sim≥0.85 + repl_exists + priority, conf=0.83",round1_replace_high_confidence
/guide/jeonse/jeonse-landlord-change-deposit-risk,jeonse,/guide/jeonse/jeonse-fraud-prevention-checklist,jeonse,jeonse-contract-special-agreement-checklist,jeonse,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/jeonse/jeonse-landlord-change-deposit-risk,jeonse,/guide/jeonse/small-deposit-tenant-protection,jeonse,no-registration-deposit-protection,jeonse,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/jeonse/jeonse-landlord-change-deposit-risk,jeonse,/guide/jeonse/jeonse-auction-distribution-guide,jeonse,jeonse-auction-priority-distribution-procedure,jeonse,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/jeonse/jeonse-deposit-guarantee-insurance-guide,jeonse,/guide/jeonse/jeonse-fraud-relief-timeline,jeonse,jeonse-renewal-refused-relocation-cost,jeonse,replace_low,0.656,sim 0.52 below floor,hold_low_confidence
/guide/unemployment/unemployment-disabled-extension-special,unemployment,/guide/unemployment/unemployment-disability-special-benefit,unemployment,unemployment-disability-worker-special-eligibility,unemployment,replace,0.804,"sim 0.79, needs review",hold_low_confidence
/guide/retirement/retirement-interim-settlement-2024-rules,retirement,/guide/retirement/retirement-interim-settlement-eligible-7,retirement,retirement-interim-settlement-guide,retirement,replace,0.827,"sim 0.83, needs review",hold_low_confidence
/guide/retirement/retirement-interim-settlement-2024-rules,retirement,/guide/retirement/retirement-pay-formula,retirement,retirement-pay-formula-guide,retirement,replace,0.854,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/retirement/retirement-interim-settlement-2024-rules,retirement,/guide/retirement/retirement-pay-14day-rule-explained,retirement,retirement-pay-14day-rule-detail,retirement,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/retirement/retirement-interim-settlement-2024-rules,retirement,/guide/retirement/retirement-pay-overdue-14days,retirement,retirement-company-closure-claim,retirement,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/retirement/retirement-stock-option-included,retirement,/guide/retirement/retirement-pay-formula,retirement,retirement-pay-formula-guide,retirement,replace,0.854,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/retirement/retirement-stock-option-included,retirement,/guide/retirement/retirement-bonus-included,retirement,retirement-bonus-performance-included,retirement,replace,0.816,"sim 0.81, needs review",hold_low_confidence
